"","FileName","Sample","WeaningGroup","Date","DaysPostWeaning_Timepoint","DaysOfAge_Timepoint","DaysOfAge","Gender","FarrowingPen","CrossFostered","PreweaningWeight","NecropsyWeight","WeightChange","Room","NecropsyOrderDaily","V16"
"1","01_E1_E01_CD3Epos.fcs","01","Standard","2021Aug20",0,21,19,"F",409,"No",10.2,NA,NA,NA,1,NA
"2","02_E2_E02_CD3Epos.fcs","02","Standard","2021Aug20",0,21,22,"M",302,"No",17.3,NA,NA,NA,2,NA
"3","03_E3_E03_CD3Epos.fcs","03","Standard","2021Aug20",0,21,19,"M",406,"No",13.2,NA,NA,NA,3,NA
"4","04_E4_E04_CD3Epos.fcs","04","Late","2021Aug20",0,28,27,"F",318,"No",21,NA,NA,NA,4,NA
"5","05_E5_E05_CD3Epos.fcs","05","Late","2021Aug20",0,28,27,"M",316,"No",18.4,NA,NA,NA,5,NA
"6","06_E6_E06_CD3Epos.fcs","06","Late","2021Aug20",0,28,25,"F",315,"No",15.1,NA,NA,NA,6,NA
"7","07_E7_E07_CD3Epos.fcs","07","Late","2021Aug20",0,28,27,"M",318,"No",21.5,NA,NA,NA,7,NA
"8","08_E8_E08_CD3Epos.fcs","08","Standard","2021Aug20",0,21,18,"M",402,"No",11.6,NA,NA,NA,8,NA
"9","09_F1_F01_CD3Epos.fcs","09","Standard","2021Aug20",0,21,20,"M",301,"No",17.1,NA,NA,NA,9,NA
"10","10_F2_F02_CD3Epos.fcs","10","Standard","2021Aug20",0,21,22,"F",310,"No",14.6,NA,NA,NA,10,NA
"11","11_F3_F03_CD3Epos.fcs","11","Late","2021Aug20",0,28,25,"M",315,"No",17.5,NA,NA,NA,11,NA
"12","12_F4_F04_CD3Epos.fcs","12","Late","2021Aug20",0,28,27,"M",319,"No",21.2,NA,NA,NA,12,NA
"13","13_F5_F05_CD3Epos.fcs","13","Late","2021Aug20",0,28,26,"M",311,"No",19,NA,NA,NA,13,NA
"14","14_F6_F06_CD3Epos.fcs","14","Late","2021Aug20",0,28,27,"F",316,"No",20.2,NA,NA,NA,14,NA
"15","15_F7_F07_CD3Epos.fcs","15","Standard","2021Aug20",0,21,22,"M",309,"No",10.3,NA,NA,NA,15,NA
"16","16_F8_F08_CD3Epos.fcs","16","Standard","2021Aug20",0,21,22,"F",302,"No",16.5,NA,NA,NA,16,NA
"17","17_E1_E01_CD3Epos.fcs","17","Standard","2021Aug23",3,24,22,"M",406,"No",17.6,18.6,1,9,1,NA
"18","18_E2_E02_CD3Epos.fcs","18","Standard","2021Aug23",3,24,25,"F",309,"No",13.1,13.8,0.7,9,2,NA
"19","19_E3_E03_CD3Epos.fcs","19","Late","2021Aug23",3,31,30,"F",318,"No",19.4,20.8,1.4,7,3,NA
"20","20_E4_E04_CD3Epos.fcs","20","Late","2021Aug23",3,31,28,"M",315,"No",18.3,19.6,1.3,7,4,NA
"21","21_E5_E05_CD3Epos.fcs","21","Late","2021Aug23",3,31,30,"F",319,"No",24,24.6,0.6,7,5,NA
"22","22_E6_E06_CD3Epos.fcs","22","Late","2021Aug23",3,31,29,"M",311,"No",15.4,17.2,1.8,7,6,NA
"23","23_E7_E07_CD3Epos.fcs","23","Standard","2021Aug23",3,24,23,"M",301,"No",13.5,15,1.5,8,7,NA
"24","24_E8_E08_CD3Epos.fcs","24","Standard","2021Aug23",3,24,22,"F",409,"No",13.8,14.6,0.8,8,8,NA
"25","25_F1_F01_CD3Epos.fcs","25","Standard","2021Aug23",3,24,25,"M",310,"No",15.6,15.6,0,8,9,NA
"26","26_F2_F02_CD3Epos.fcs","26","Late","2021Aug23",3,31,30,"M",319,"No",18.5,20.8,2.3,6,10,NA
"27","27_F3_F03_CD3Epos.fcs","27","Late","2021Aug23",3,31,30,"M",316,"No",16,16.6,0.6,6,11,NA
"28","28_F4_F04_CD3Epos.fcs","28","Late","2021Aug23",3,31,30,"M",318,"No",18.4,19.6,1.2,6,12,NA
"29","29_F5_F05_CD3Epos.fcs","29","Late","2021Aug23",3,31,29,"F",311,"No",17.1,18,0.9,6,13,NA
"30","30_F6_F06_CD3Epos.fcs","30","Standard","2021Aug23",3,24,25,"M",310,"No",14,14.8,0.8,10,14,NA
"31","31_F7_F07_CD3Epos.fcs","31","Standard","2021Aug23",3,24,21,"M",402,"No",13,14.4,1.4,10,15,NA
"32","32_F8_F08_CD3Epos.fcs","32","Standard","2021Aug23",3,24,23,"F",301,"No",11,11.6,0.6,10,16,NA
"33","33_E1_E01_CD3Epos.fcs","33","Standard","2021Aug27",7,28,25,"F",402,"No",13.8,15.2,1.4,8,1,NA
"34","34_E2_E02_CD3Epos.fcs","34","Standard","2021Aug27",7,28,29,"M",302,"No",16.5,18.6,2.1,8,2,NA
"35","35_E3_E03_CD3Epos.fcs","35","Late","2021Aug27",7,35,32,"F",315,"No",13.5,16.8,3.3,6,3,NA
"36","36_E4_E04_CD3Epos.fcs","36","Late","2021Aug27",7,35,34,"M",318,"No",20.3,25.4,5.1,6,4,NA
"37","37_E5_E05_CD3Epos.fcs","37","Late","2021Aug27",7,35,34,"M",316,"No",16.5,20.2,3.7,6,5,NA
"38","38_E6_E06_CD3Epos.fcs","38","Late","2021Aug27",7,35,34,"F",319,"No",19.8,23.6,3.8,6,6,NA
"39","39_E7_E07_CD3Epos.fcs","39","Standard","2021Aug27",7,28,25,"M",402,"No",11.2,12,0.8,10,7,NA
"40","40_E8_E08_CD3Epos.fcs","40","Standard","2021Aug27",7,28,26,"M",409,"No",16.8,19.2,2.4,10,8,NA
"41","41_F1_F01_CD3Epos.fcs","41","Standard","2021Aug27",7,28,29,"F",302,"No",17.1,20.2,3.1,10,9,NA
"42","42_F2_F02_CD3Epos.fcs","42","Late","2021Aug27",7,35,33,"M",311,"No",14.2,15.2,1,7,10,NA
"43","43_F3_F03_CD3Epos.fcs","43","Late","2021Aug27",7,35,32,"M",315,"No",18.2,20.6,2.4,7,11,NA
"44","44_F4_F04_CD3Epos.fcs","44","Late","2021Aug27",7,35,34,"F",316,"No",20,23.4,3.4,7,12,NA
"45","45_F5_F05_CD3Epos.fcs","45","Late","2021Aug27",7,35,34,"M",319,"No",14.8,18.2,3.4,7,13,NA
"46","46_F6_F06_CD3Epos.fcs","46","Standard","2021Aug27",7,28,29,"M",309,"No",11.7,12.8,1.1,9,14,NA
"47","47_F7_F07_CD3Epos.fcs","47","Standard","2021Aug27",7,28,26,"F",406,"No",14.4,17.8,3.4,9,15,NA
"48","48_F8_F08_CD3Epos.fcs","48","Standard","2021Aug27",7,28,27,"M",301,"No",12.7,15,2.3,9,16,NA
"49","73_E1_E01_CD3Epos.fcs","73","Standard","2021Sept10",21,42,43,"M",309,"No",12.5,24,11.5,10,1,NA
"50","74_E2_E02_CD3Epos.fcs","74","Standard","2021Sept10",21,42,40,"F",409,"No",14.6,25.2,10.6,10,2,NA
"51","75_E3_E03_CD3Epos.fcs","75","Late","2021Sept10",21,49,48,"F",318,"No",18.6,32,13.4,6,3,NA
"52","76_E4_E04_CD3Epos.fcs","76","Late","2021Sept10",21,49,46,"M",315,"No",14.9,25,10.1,6,4,NA
"53","77_E5_E05_CD3Epos.fcs","77","Late","2021Sept10",21,49,48,"F",316,"No",14.9,27.4,12.5,6,5,NA
"54","78_E6_E06_CD3Epos.fcs","78","Late","2021Sept10",21,49,48,"M",319,"No",21.3,40.6,19.3,6,6,NA
"55","79_E7_E07_CD3Epos.fcs","79","Standard","2021Sept10",21,42,43,"M",310,"No",15.3,26,10.7,9,7,NA
"56","80_E8_E08_CD3Epos.fcs","80","Standard","2021Sept10",21,42,39,"M",402,"No",13,16.8,3.8,9,8,NA
"57","81_F1_F01_CD3Epos.fcs","81","Standard","2021Sept10",21,42,41,"F",301,"No",10.6,18.6,8,9,9,NA
"58","82_F2_F02_CD3Epos.fcs","82","Late","2021Sept10",21,49,48,"M",318,"No",17.2,30.8,13.6,7,10,NA
"59","83_F3_F03_CD3Epos.fcs","83","Late","2021Sept10",21,49,48,"M",319,"Yes",14.7,31.6,16.9,7,11,NA
"60","84_F4_F04_CD3Epos.fcs","84","Late","2021Sept10",21,49,47,"F",311,"No",17.4,25.6,8.2,7,12,NA
"61","85_F5_F05_CD3Epos.fcs","85","Late","2021Sept10",21,49,48,"M",316,"No",13.5,21.4,7.9,7,13,NA
"62","86_F6_F06_CD3Epos.fcs","86","Standard","2021Sept10",21,42,41,"M",301,"No",10.4,20.6,10.2,8,14,NA
"63","87_F7_F07_CD3Epos.fcs","87","Standard","2021Sept10",21,42,43,"F",302,"No",17.5,34.2,16.7,8,15,NA
"64","88_F8_F08_CD3Epos.fcs","88","Standard","2021Sept10",21,42,40,"M",409,"Yes",13.4,24.6,11.2,8,16,NA
"65","Ctrl01_10Sept_E9_E09_CD3Epos.fcs","Ctrl01","","2021Sept10",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA
"66","Ctrl01_20Aug_E9_E09_CD3Epos.fcs","Ctrl01","","2021Aug20",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA
"67","Ctrl01_23Aug_E9_E09_CD3Epos.fcs","Ctrl01","","2021Aug23",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA
"68","Ctrl01_27Aug_E9_E09_CD3Epos.fcs","Ctrl01","","2021Aug27",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA
"69","Ctrl02_10Sept_E10_E10_CD3Epos.fcs","Ctrl02","","2021Sept10",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA
"70","Ctrl02_20Aug_E10_E10_CD3Epos.fcs","Ctrl02","","2021Aug20",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA
"71","Ctrl02_23Aug_E10_E10_CD3Epos.fcs","Ctrl02","","2021Aug23",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA
"72","Ctrl02_27Aug_E10_E10_CD3Epos.fcs","Ctrl02","","2021Aug27",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA
"73","Ctrl03_10Sept_F9_F09_CD3Epos.fcs","Ctrl03","","2021Sept10",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA
"74","Ctrl03_20Aug_F9_F09_CD3Epos.fcs","Ctrl03","","2021Aug20",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA
"75","Ctrl03_23Aug_F9_F09_CD3Epos.fcs","Ctrl03","","2021Aug23",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA
"76","Ctrl03_27Aug_F9_F09_CD3Epos.fcs","Ctrl03","","2021Aug27",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA
"77","Ctrl04_10Sept_F10_F10_CD3Epos.fcs","Ctrl04","","2021Sept10",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA
"78","Ctrl04_20Aug_F10_F10_CD3Epos.fcs","Ctrl04","","2021Aug20",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA
"79","Ctrl04_23Aug_F10_F10_CD3Epos.fcs","Ctrl04","","2021Aug23",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA
"80","Ctrl04_27Aug_F10_F10_CD3Epos.fcs","Ctrl04","","2021Aug27",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA
